ranking,easy,medium,hard,acceptance,weekly
3566908,4,9,2,60.0,0
5000001,1,1,0,40.0,
443,555,1360,587,90.0,39
5000001,0,0,0,0,
39640,271,447,86,60.0,5
756701,47,90,18,50.0,5
,,,,,
33478,256,491,101,65.0,13
2863084,16,6,1,25.0,
4691987,6,1,0,77.78,
,,,,,
,846,1738,770,90.0,79
,,,,,
5000001,0,1,1,66.67,
2514,476,903,304,80.0,6
,,,,,
16323,166,737,143,80.0,33
2404938,12,18,2,45.0,
221259,142,187,66,75.0,26
81589,138,400,86,55.0,18
164436,101,271,83,55.0,
,,,,,
15630,296,634,128,60.0,19
,,,,,
,,,,,
5000001,0,0,0,0,
,,,,,
320470,73,177,59,75.0,
,,,,,
5000001,0,0,0,0,
,,,,,
38610,147,505,161,75.0,19
,,,,,
2847869,13,9,1,60.0,9
177116,107,269,62,10.0,22
481939,39,93,100,55.0,16
5000001,0,0,0,0.0,
5000001,0,0,0,0,
,,,,,
,,,,,
674322,40,111,22,85.0,13
5000001,0,0,0,0,
5000001,0,0,0,0,
24721,335,542,53,65.0,3
,,,,,
18282,284,578,152,95.0,16
5000001,2,3,0,46.15,
154403,96,291,85,75.0,46
5000001,1,1,0,10.53,
,,,,,
3490,520,825,208,50.0,5
1999354,15,27,2,50.0,
2122727,12,14,14,20.0,24
,,,,,
,,,,,
313781,124,176,13,70.0,0
156080,116,313,39,75.0,36
5000001,0,0,0,0,
4329569,9,0,0,52.94,
,,,,,
65922,172,384,118,60.0,4
1297,731,1030,219,90.0,8
,,,,,
,,,,,
5000001,0,0,0,0,
1516447,8,47,14,80.0,9
,,,,,
,,,,,
5000001,2,3,1,46.15,5
5000001,0,0,0,0,
307398,106,170,42,60.0,9
,,,,,
864371,36,85,16,80.0,14
3419,491,877,194,75.0,16
,,,,,
5000001,0,0,0,0,
1264249,27,51,9,30.0,9
4603,402,857,188,75.0,6
53695,306,400,20,85.0,
5000001,2,0,0,28.57,
,,,,,
867732,84,50,1,75.0,
5000001,0,0,0,0,
,,,,,
11671,333,668,146,20.0,71
1979,569,951,253,45.0,6
90690,144,365,88,90.0,12
5000001,0,0,0,0,
11259,273,681,201,75.0,24
,,,,,
1565855,29,31,4,80.0,
,,,,,
5000001,0,0,0,0,
,,,,,
,,,,,
5595,604,722,55,60.0,20
131992,146,276,84,85.0,
1064074,45,60,3,85.0,8
493548,58,138,32,95.0,10
692468,45,111,12,55.0,
26014,234,528,157,65.0,80
5000001,0,0,0,,
1467034,23,44,5,55.0,15
250871,85,249,27,65.0,6
,,,,,
,,,,,
,,,,,
,,,,,
5000001,0,0,0,0,
1361902,40,38,0,75.0,
,,,,,
753485,74,75,6,60.0,6
94083,178,339,71,80.0,35
4903029,4,1,1,10.0,
856469,41,85,11,40.0,6
,,,,,
,,,,,
,,,,,
5000001,0,0,0,0,
5000001,5,1,0,60.0,
5000001,0,0,0,0,
1948099,26,18,2,80.0,
1748,479,1008,345,70.0,13
31859,305,475,85,65.0,41
3473155,6,10,0,60.0,4
,,,,,
516869,53,131,36,65.0,15
46813,226,449,86,95.0,
58101,201,414,91,70.0,9
4459355,1,6,1,55.0,
,,,,,
,,,,,
2397732,10,20,3,75.0,3
3228,404,838,342,80.0,16
21709,199,525,242,60.0,22
884195,33,76,23,50.0,12
175713,178,237,28,60.0,48
,,,,,
2639766,23,4,0,35.0,
,,,,,
524977,89,107,19,75.0,0
387725,56,179,37,55.0,43
280812,99,202,35,60.0,
5000001,1,0,0,100.0,
,,,,,
1301530,56,22,5,25.0,
5000001,0,0,0,0,
322823,138,158,12,90.0,48
138859,107,328,60,35.0,10
835016,33,84,23,30.0,
615176,40,127,22,,13
42459,229,439,118,30.0,8
,,,,,
3839354,1,10,1,70.0,
,,,,,
5000001,1,0,0,100.0,
3048663,5,9,7,40.0,24
5000001,6,0,0,15.0,
15684,273,674,112,65.0,39
5000001,0,0,0,0.0,
8942,282,782,160,60.0,20
,,,,,
5000001,0,0,0,0,
,,,,,
,,,,,
,,,,,
,,,,,
5000001,0,0,0,0,
645289,57,107,20,80.0,57
43375,198,459,127,65.0,48
437860,130,104,14,65.0,4
4910450,3,3,0,53.33,0
5000001,0,0,0,0,
,,,,,
5000001,0,0,0,0,
5000001,1,0,0,14.29,
126756,131,280,106,55.0,27
642151,46,111,23,45.0,
,,,,,
18619,195,650,164,45.0,12
357193,71,180,37,50.0,43
956120,36,68,18,65.0,6
5000001,0,0,0,0,
,,,,,
,,,,,
557717,59,114,31,50.0,
1034584,90,20,1,80.0,
465004,77,125,34,55.0,
5000001,0,0,0,0,
325833,71,200,36,85.0,20
,,,,,
1442195,38,33,1,25.0,
394104,100,166,16,80.0,36
247926,108,216,39,70.0,1
290072,99,203,29,80.0,20
5000001,2,3,0,100.0,3
,,,,,
3776456,7,4,2,35.0,6
,,,,,
,,,,,
3272,482,900,196,55.0,5
78667,238,346,46,85.0,96
1945887,15,31,3,60.0,12
3020946,5,13,3,65.0,33
4123439,8,2,0,85.71,0
3681926,4,6,4,50.0,7
574913,76,112,11,75.0,0
1016121,25,69,19,35.0,
5000001,0,0,0,0,
2116296,11,22,7,25.0,
5000001,0,0,0,0,
5000001,0,0,0,0,
27568,276,479,145,40.0,3
592222,114,76,4,50.0,23
,,,,,
5000001,2,0,0,100.0,
15279,402,526,136,75.0,4
,,,,,
9076,269,675,276,75.0,24
5000001,0,0,0,0,
58337,185,423,98,70.0,41
315014,114,185,14,70.0,12
3382415,2,14,0,35.0,
,,,,,
129130,131,314,68,70.0,22
158619,142,285,37,55.0,9
,,,,,
5124,271,807,333,70.0,19
,,,,,
869813,96,38,1,70.0,0
5000001,0,0,0,0,
1897434,29,18,1,60.0,
350,679,1384,531,80.0,13
5000001,0,0,0,0,
,,,,,
,,,,,
,,,,,
,,,,,
690763,45,124,2,70.0,18
226026,97,240,46,95.0,0
1187565,66,24,4,65.0,
273855,75,223,45,75.0,13
,,,,,
605137,44,114,32,70.0,0
733017,53,94,12,60.0,0
,,,,,
5000001,0,0,0,0,
794837,37,70,41,55.0,7
,,,,,
185400,139,261,28,65.0,9
780960,44,85,21,70.0,8
,,,,,
,,,,,
612349,39,133,16,25.0,
,,,,,
55309,222,411,90,85.0,27
970,515,1143,463,75.0,18
1235803,19,54,16,55.0,
2689862,2,10,14,25.0,
142328,108,299,84,70.0,29
,,,,,
1384767,17,51,9,80.0,6
535422,80,116,15,70.0,
5000001,0,0,0,0,
326876,85,194,26,70.0,19
2732187,7,14,4,35.0,
3291304,5,8,4,5.0,
5000001,0,0,0,0,
,,,,,
5000001,1,2,0,36.36,
222619,94,249,44,80.0,24
,,,,,
,,,,,
1048234,38,62,9,45.0,3
540899,48,129,33,65.0,29
175270,104,282,55,90.0,82
15231,249,604,213,65.0,23
59239,250,402,49,50.0,0
,,,,,
5000001,0,0,0,0,
,,,,,
1414521,28,43,3,30.0,0
694313,57,98,13,35.0,13
5000001,1,0,0,50.0,
,,,,,
,,,,,
4094,533,785,172,60.0,22
566465,45,121,36,50.0,5
7109,340,743,215,75.0,14
1031732,33,68,10,25.0,
2975886,4,13,5,50.0,11
5000001,0,0,0,0.0,
27920,281,548,68,65.0,11
241882,107,225,36,65.0,0
,,,,,
858430,53,69,14,85.0,0
5000001,1,2,0,75.0,4
,,,,,
18973,289,555,160,60.0,4
1671784,30,30,1,80.0,25
74782,183,383,78,70.0,14
226275,133,210,40,70.0,10
,,,,,
1493,527,1133,251,90.0,0
2407190,24,5,3,55.0,14
125955,162,302,53,65.0,15
,,,,,
342313,104,154,39,65.0,40
4101796,6,4,0,55.0,
5000001,2,3,0,71.43,3
5000001,0,0,0,0.0,
2570420,7,17,5,45.0,6
5000001,2,0,0,100.0,0
,,,,,
4299,386,836,250,55.0,8
4456245,4,4,0,25.0,
5000001,0,0,0,0,
4456746,4,2,2,100.0,
4464706,7,1,0,35.0,
5000001,2,1,0,15.0,
102246,207,317,43,85.0,33
5000001,1,0,0,20.0,
3862713,7,5,0,80.0,
,,,,,
546663,84,110,14,55.0,4
,,,,,
72791,130,429,90,65.0,0
,,,,,
2708118,14,12,0,60.0,0
1201784,24,54,16,95.0,4
111122,162,330,56,90.0,115
,,,,,
1154780,32,56,9,20.0,
2758266,8,13,4,50.0,6
233019,108,204,65,55.0,6
656404,56,100,22,75.0,13
1919569,14,19,15,45.0,0
871,695,1133,347,65.0,10
21000,181,566,229,90.0,45
16435,282,587,176,70.0,33
,,,,,
2910323,6,14,2,55.0,
332833,87,182,32,90.0,127
279027,201,131,7,80.0,10
5000001,0,0,0,0,
4664190,4,3,0,15.0,
100961,242,277,51,65.0,31
2550933,13,10,6,90.0,
,,,,,
5000001,0,2,0,100.0,0
437623,111,122,16,85.0,16
5000001,0,0,0,0,
918707,65,55,7,45.0,0
1428382,37,32,4,45.0,
,,,,,
,,,,,
259059,106,205,43,95.0,15
261430,104,216,32,50.0,16
,,,,,
67440,167,412,90,65.0,16
2055366,19,20,3,55.0,0
5000001,1,1,0,15.38,
,,,,,
404639,67,155,44,85.0,22
180556,118,274,43,75.0,13
78765,166,357,109,60.0,19
,,,,,
318128,53,212,46,80.0,3
824125,69,61,12,65.0,12
702617,86,76,4,50.0,0
,,,,,
,,,,,
143479,163,284,40,60.0,16
5000001,0,1,0,100.0,
5000001,1,0,0,100.0,
,,,,,
,,,,,
925938,40,71,15,60.0,17
1183123,26,55,13,65.0,
14669,301,637,138,60.0,15
,,,,,
5000001,0,0,0,0,
186789,105,267,59,90.0,108
5000001,0,0,0,0,
13995,272,614,203,50.0,4
15781,588,441,26,75.0,13
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
846,546,1209,437,45.0,9
5000001,0,0,0,0.0,
,,,,,
961709,38,78,6,80.0,18
,,,,,
,,,,,
95490,185,340,58,25.0,14
5000001,0,0,0,0.0,
5000001,0,0,0,0,
3444719,6,9,1,55.0,6
17323,211,613,205,50.0,16
,,,,,
982894,52,61,5,90.0,
,,,,,
,,,,,
,,,,,
2573286,8,16,5,55.0,7
909516,37,74,17,65.0,
2638816,15,12,0,90.0,0
,,,,,
,,,,,
5000001,1,1,0,15.0,
,,,,,
861,590,1191,400,65.0,6
1084896,58,41,6,55.0,
,,,,,
437495,89,136,23,65.0,16
357826,72,194,21,80.0,9
,,,,,
5000001,0,0,0,0,
4897,347,749,329,70.0,23
158865,104,303,56,65.0,
1099058,41,52,11,50.0,11
,,,,,
1067,490,1147,443,65.0,12
5000001,0,0,0,0,
321087,62,204,44,70.0,60
48359,259,419,82,80.0,68
,,,,,
1236,494,1054,457,40.0,27
285086,95,205,34,40.0,252
,,,,,
,,,,,
5000001,0,0,0,0,
5116,353,781,278,55.0,17
908171,108,19,2,80.0,10
493036,22,147,57,45.0,6
5000001,1,2,0,42.86,7
,,,,,
2527041,8,17,5,30.0,8
,,,,,
5000001,0,0,0,0,
838,492,1211,493,65.0,10
,,,,,
,,,,,
5000001,0,0,0,0,
4101733,2,6,2,20.0,
,,,,,
5000001,0,0,0,0,
5000001,1,0,0,33.33,
3694815,7,6,0,15.0,
570880,118,78,5,55.0,18
5000001,0,0,0,0,
,,,,,
3729201,5,8,0,40.0,
194198,197,185,37,50.0,56
2392812,4,22,9,55.0,13
514026,48,151,19,60.0,0
,,,,,
90339,159,323,126,100.0,88
5000001,0,0,0,0,
863675,58,59,19,60.0,0
112612,92,334,118,35.0,30
,,,,,
5000001,0,0,0,0,
30861,240,524,106,65.0,19
444650,134,104,7,95.0,9
,,,,,
4273020,6,2,1,40.0,
,,,,,
,,,,,
5000001,0,0,0,0,
1383047,34,41,4,60.0,7
,,,,,
1080205,72,32,2,60.0,4
5000001,0,0,0,0.0,
5000001,0,0,0,0.0,
,,,,,
,,,,,
142144,123,287,82,75.0,50
82545,180,365,76,90.0,77
5000001,1,4,1,33.33,
5000001,0,0,0,0,
,,,,,
513979,152,58,9,35.0,0
5000001,0,1,0,50.0,
5000001,0,0,0,0,
659130,113,50,13,75.0,
5000001,0,0,0,0,
,,,,,
3474570,6,4,5,10.0,
3125676,4,12,3,45.0,
66879,200,400,74,50.0,17
1002751,46,41,28,90.0,
2737463,23,2,0,35.0,
,,,,,
511377,97,119,3,35.0,
,,,,,
62555,218,416,54,80.0,23
32738,206,566,84,60.0,58
643,640,1120,579,80.0,260
,,,,,
1308044,30,42,11,90.0,0
211200,101,235,64,85.0,54
2532428,12,15,2,85.0,0
666213,61,102,11,20.0,
5000001,1,0,0,100.0,
,,,,,
,,,,,
