ranking,easy,medium,hard,acceptance,weekly
2514.0,476.0,903.0,304.0,80.0,6.0
16323.0,166.0,737.0,143.0,80.0,33.0
221259.0,142.0,187.0,66.0,75.0,26.0
81589.0,138.0,400.0,86.0,55.0,18.0
15630.0,296.0,634.0,128.0,60.0,19.0
38610.0,147.0,505.0,161.0,75.0,19.0
2847869.0,13.0,9.0,1.0,60.0,9.0
177116.0,107.0,269.0,62.0,10.0,22.0
481939.0,39.0,93.0,100.0,55.0,16.0
674322.0,40.0,111.0,22.0,85.0,13.0
24721.0,335.0,542.0,53.0,65.0,3.0
18282.0,284.0,578.0,152.0,95.0,16.0
154403.0,96.0,291.0,85.0,75.0,46.0
3490.0,520.0,825.0,208.0,50.0,5.0
2122727.0,12.0,14.0,14.0,20.0,24.0
313781.0,124.0,176.0,13.0,70.0,0.0
156080.0,116.0,313.0,39.0,75.0,36.0
65922.0,172.0,384.0,118.0,60.0,4.0
1297.0,731.0,1030.0,219.0,90.0,8.0
1516447.0,8.0,47.0,14.0,80.0,9.0
5000001.0,2.0,3.0,1.0,46.15,5.0
307398.0,106.0,170.0,42.0,60.0,9.0
864371.0,36.0,85.0,16.0,80.0,14.0
3419.0,491.0,877.0,194.0,75.0,16.0
1264249.0,27.0,51.0,9.0,30.0,9.0
4603.0,402.0,857.0,188.0,75.0,6.0
11671.0,333.0,668.0,146.0,20.0,71.0
1979.0,569.0,951.0,253.0,45.0,6.0
90690.0,144.0,365.0,88.0,90.0,12.0
11259.0,273.0,681.0,201.0,75.0,24.0
5595.0,604.0,722.0,55.0,60.0,20.0
1064074.0,45.0,60.0,3.0,85.0,8.0
493548.0,58.0,138.0,32.0,95.0,10.0
26014.0,234.0,528.0,157.0,65.0,80.0
1467034.0,23.0,44.0,5.0,55.0,15.0
250871.0,85.0,249.0,27.0,65.0,6.0
753485.0,74.0,75.0,6.0,60.0,6.0
94083.0,178.0,339.0,71.0,80.0,35.0
856469.0,41.0,85.0,11.0,40.0,6.0
1748.0,479.0,1008.0,345.0,70.0,13.0
31859.0,305.0,475.0,85.0,65.0,41.0
3473155.0,6.0,10.0,0.0,60.0,4.0
516869.0,53.0,131.0,36.0,65.0,15.0
58101.0,201.0,414.0,91.0,70.0,9.0
2397732.0,10.0,20.0,3.0,75.0,3.0
3228.0,404.0,838.0,342.0,80.0,16.0
21709.0,199.0,525.0,242.0,60.0,22.0
884195.0,33.0,76.0,23.0,50.0,12.0
175713.0,178.0,237.0,28.0,60.0,48.0
524977.0,89.0,107.0,19.0,75.0,0.0
387725.0,56.0,179.0,37.0,55.0,43.0
322823.0,138.0,158.0,12.0,90.0,48.0
138859.0,107.0,328.0,60.0,35.0,10.0
42459.0,229.0,439.0,118.0,30.0,8.0
3048663.0,5.0,9.0,7.0,40.0,24.0
15684.0,273.0,674.0,112.0,65.0,39.0
8942.0,282.0,782.0,160.0,60.0,20.0
645289.0,57.0,107.0,20.0,80.0,57.0
43375.0,198.0,459.0,127.0,65.0,48.0
437860.0,130.0,104.0,14.0,65.0,4.0
4910450.0,3.0,3.0,0.0,53.33,0.0
126756.0,131.0,280.0,106.0,55.0,27.0
18619.0,195.0,650.0,164.0,45.0,12.0
357193.0,71.0,180.0,37.0,50.0,43.0
956120.0,36.0,68.0,18.0,65.0,6.0
325833.0,71.0,200.0,36.0,85.0,20.0
394104.0,100.0,166.0,16.0,80.0,36.0
247926.0,108.0,216.0,39.0,70.0,1.0
290072.0,99.0,203.0,29.0,80.0,20.0
5000001.0,2.0,3.0,0.0,100.0,3.0
3776456.0,7.0,4.0,2.0,35.0,6.0
3272.0,482.0,900.0,196.0,55.0,5.0
78667.0,238.0,346.0,46.0,85.0,96.0
1945887.0,15.0,31.0,3.0,60.0,12.0
3020946.0,5.0,13.0,3.0,65.0,33.0
