ranking,easy,medium,hard,acceptance,weekly,score
58337,185,423,98,70,41,68
315014,114,185,14,70,12,43
129130,131,314,68,70,22,47
158619,142,285,37,55,9,42
5124,271,807,333,70,19,75
869813,96,38,1,70,0,27
350,679,1384,531,80,13,97
690763,45,124,2,70,18,34
226026,97,240,46,95,0,43
273855,75,223,45,75,13,40
605137,44,114,32,70,0,39
733017,53,94,12,60,0,37
794837,37,70,41,55,7,35
185400,139,261,28,65,9,43
780960,44,85,21,70,8,37
55309,222,411,90,85,27,58
970,515,1143,463,75,18,94
142328,108,299,84,70,29,46
1384767,17,51,9,80,6,28
326876,85,194,26,70,19,37
222619,94,249,44,80,24,42
1048234,38,62,9,45,3,30
540899,48,129,33,65,29,35
175270,104,282,55,90,82,45
15231,249,604,213,65,23,62
59239,250,402,49,50,0,56
1414521,28,43,3,30,0,18
694313,57,98,13,35,13,21
4094,533,785,172,60,22,84
566465,45,121,36,50,5,42
7109,340,743,215,75,14,72
2975886,4,13,5,50,11,12
27920,281,548,68,65,11,58
241882,107,225,36,65,0,41
858430,53,69,14,85,0,31
5000001,1,2,0,75,4,3
18973,289,555,160,60,4,65
1671784,30,30,1,80,25,20
74782,183,383,78,70,14,56
226275,133,210,40,70,10,46
1493,527,1133,251,90,0,93
2407190,24,5,3,55,14,14
125955,162,302,53,65,15,51
342313,104,154,39,65,40,38
5000001,2,3,0,71.43,3,5
2570420,7,17,5,45,6,15
5000001,2,0,0,100,0,4
4299,386,836,250,55,8,84
102246,207,317,43,85,33,57
546663,84,110,14,55,4,34
72791,130,429,90,65,0,59
2708118,14,12,0,60,0,17
1201784,24,54,16,95,4,24
111122,162,330,56,90,115,58
2758266,8,13,4,50,6,20
233019,108,204,65,55,6,38
656404,56,100,22,75,13,33
1919569,14,19,15,45,0,23
871,695,1133,347,65,10,92
21000,181,566,229,90,45,79
16435,282,587,176,70,33,72
332833,87,182,32,90,127,45
279027,201,131,7,80,10,42
100961,242,277,51,65,31,46
5000001,0,2,0,100,0,3
437623,111,122,16,85,16,34
918707,65,55,7,45,0,28
259059,106,205,43,95,15,36
261430,104,216,32,50,16,30
67440,167,412,90,65,16,59
2055366,19,20,3,55,0,24
404639,67,155,44,85,22,
180556,118,274,43,75,13,48
78765,166,357,109,60,19,57
318128,53,212,46,80,3,40
824125,69,61,12,65,12,32
702617,86,76,4,50,0,34
143479,163,284,40,60,16,46
925938,40,71,15,60,17,32
14669,301,637,138,60,15,
186789,105,267,59,90,108,48
13995,272,614,203,50,4,69
15781,588,441,26,75,13,65
846,546,1209,437,45,9,92
961709,38,78,6,80,18,29
95490,185,340,58,25,14,43
3444719,6,9,1,55,6,8
17323,211,613,205,50,16,56
2573286,8,16,5,55,7,16
2638816,15,12,0,90,0,19
861,590,1191,400,65,6,92
437495,89,136,23,65,16,32
357826,72,194,21,80,9,35
4897,347,749,329,70,23,78
1099058,41,52,11,50,11,27
1067,490,1147,443,65,12,91
321087,62,204,44,70,60,45
48359,259,419,82,80,68,64
1236,494,1054,457,40,27,91
285086,95,205,34,40,252,50
5116,353,781,278,55,17,79
908171,108,19,2,80,10,29
493036,22,147,57,45,6,30
5000001,1,2,0,42.86,7,4
2527041,8,17,5,30,8,13
838,492,1211,493,65,10,91
570880,118,78,5,55,18,36
194198,197,185,37,50,56,38
2392812,4,22,9,55,13,24
514026,48,151,19,60,0,32
90339,159,323,126,100,88,69
863675,58,59,19,60,0,29
112612,92,334,118,35,30,47
30861,240,524,106,65,19,65
444650,134,104,7,95,9,37
1383047,34,41,4,60,7,26
1080205,72,32,2,60,4,27
142144,123,287,82,75,50,46
82545,180,365,76,90,77,64
513979,152,58,9,35,0,32
66879,200,400,74,50,17,58
62555,218,416,54,80,23,68
32738,206,566,84,60,58,72
643,640,1120,579,80,260,98
1308044,30,42,11,90,0,26
211200,101,235,64,85,54,39
2532428,12,15,2,85,0,22
38886,255,478,77,50,20,62
257456,223,127,5,70,7,40
677,835,1316,152,90,58,99
241876,76,252,42,80,18,40
89662,195,367,46,50,56,46
39675,167,402,234,80,29,76
2490407,11,19,0,40,0,16
472221,66,144,24,55,11,32
3968051,7,4,0,30,0,12
5000001,2,4,0,62.5,8,5
260161,91,214,48,60,58,38
2169793,20,18,1,40,0,19
254923,125,209,24,55,8,34
2094176,27,14,0,85,0,23
81063,181,356,86,50,55,54
189415,130,261,33,70,58,45
50913,104,399,239,70,34,65
3716,424,730,376,80,30,79
598252,58,113,21,30,33,32
8033,339,690,230,90,4,76
56162,234,391,92,85,18,61
533908,56,131,25,40,21,33
198568,117,251,45,85,7,38
354,263,1694,632,45,6,94
109978,117,420,14,50,22,43
44061,350,407,21,75,13,64
315032,83,198,32,75,97,45
74531,233,352,61,85,31,46
4610367,3,4,1,50,6,9
77066,151,402,83,70,45,54
98641,176,380,19,70,1,45
521111,35,137,46,80,23,30
71275,143,404,109,80,24,55
16169,229,584,235,100,6,72
1372,470,999,483,90,5,94
379077,68,135,72,75,0,30
8630,311,604,319,55,0,63
293,659,1364,638,90,16,97
230,686,1432,626,90,4,99
590899,48,89,58,60,0,24
259280,72,199,82,55,0,32
319651,63,147,100,90,8,40
136227,141,267,91,85,0,43
668265,41,88,45,70,0,25
4916,366,726,326,40,8,74
111340,137,276,133,50,0,49
43,842,1757,774,70,13,99
1412868,20,42,14,100,7,22
9026,307,655,258,45,0,48
6603,342,656,325,30,7,53
863,538,1307,334,45,0,94
1334306,4,14,63,45,0,19
298328,87,162,75,65,0,32
589,534,1285,557,75,19,95
181369,91,268,74,65,0,32
80633,213,334,77,85,0,54
61613,221,343,127,80,0,60
46120,189,367,209,75,4,64
208858,73,195,133,75,0,37
5000001,5,0,0,38.89,0,3
763765,59,75,19,65,0,22
810290,25,70,50,70,0,23
82,769,1631,710,95,11,100
31208,178,428,260,45,1,60
40166,260,397,143,75,0,58
1107,491,1160,411,95,11,94
1147,368,1073,599,65,8,92
283,644,1432,596,65,4,96
3228,404,838,342,80,16,91
744,562,1186,506,100,16,97
75323,162,341,139,45,2,47
2050408,11,22,10,70,0,18
127142,21,246,249,80,8,44
443547,55,140,50,45,0,30
4870,352,740,336,90,0,69
686,472,1218,607,90,1,94
81149,190,315,118,80,0,52
2267,510,923,287,90,11,89
541,629,1294,489,80,7,93
1839,485,1020,303,95,11,86
327,734,1352,536,85,0,97
32633,270,434,150,80,28,57
217708,11,196,186,80,3,34
65323,161,390,125,90,0,52
1972597,33,12,0,65,0,19
107931,154,293,107,90,0,42
109806,189,322,38,85,12,43
1785,406,928,488,70,8,91
286950,78,196,58,55,0,34
526614,51,131,32,85,0,30
8733,337,673,221,90,11,70
3741206,4,5,4,45,0,11
1386,411,1046,489,100,14,94
100009,164,282,126,55,0,47
32286,233,500,125,90,18,63
136,715,1607,584,70,3,95
12371,282,572,272,25,8,51
695,509,1199,586,85,7,92
