rating,easy,medium,hard,acceptance,weekly,score
2769,30,17,22,65,0,2899
2769,31,40,317,50,4,3831
2769,30,28,49,65,1,3002
2769,42,38,36,70,0,2995
2768,109,116,251,50,0,3862
2768,96,87,114,65,0,3380
2767,52,65,97,90,0,3240
2766,41,35,43,55,0,3006
2766,167,122,132,45,16,3573
2765,142,176,91,50,0,3532
2764,56,59,106,75,1,3256
2764,142,162,193,60,0,3809
2763,160,206,227,50,0,4016
2762,33,28,57,15,1,3022
2759,89,102,123,40,0,3421
2758,168,108,130,30,0,3532
2758,49,65,260,35,0,3717
2758,254,190,177,70,6,3923
2757,75,75,220,45,0,3642
2757,57,119,165,45,0,3547
2755,141,168,219,80,0,3889
2753,194,147,154,55,0,3703
2752,82,112,98,45,0,3352
2750,114,94,103,40,0,3361
2750,127,96,124,50,0,3441
2750,52,45,73,60,0,3111
2749,88,86,126,90,0,3387
2749,67,50,65,60,1,3111
2749,22,23,32,60,0,2913
2748,58,46,62,30,0,3084
2745,63,56,52,45,0,3076
2744,24,28,149,45,0,3271
2744,102,132,190,55,0,3680
2744,46,55,204,20,0,3512
2742,62,70,193,50,0,3523
2742,120,88,109,60,0,3365
2741,27,34,48,75,0,2980
2740,69,75,305,45,0,3874
2739,37,75,65,55,0,3121
2738,66,59,152,85,1,3378
2738,40,48,80,90,0,3114
2737,88,76,260,60,0,3757
2736,129,109,155,55,0,3548
2735,272,188,130,60,5,3773
2733,41,55,274,55,8,3706
2732,65,92,102,60,0,3287
2732,177,158,165,80,0,3720
2731,66,151,216,55,0,3747
2731,76,71,25,80,0,3024
2730,67,62,172,0,0,3437
2729,58,76,196,40,0,3527
2728,206,174,198,80,3,3876
2728,61,86,314,30,7,3903
2726,87,112,125,70,0,3412
2725,119,82,199,45,1,3605
2724,82,119,241,65,0,3767
2724,178,143,267,75,0,3989
2723,64,44,47,75,0,3016
2723,95,167,74,20,0,3374
2722,8,10,7,25,0,2771
2720,139,111,124,85,0,3453
2720,60,52,64,75,0,3076
2719,136,161,130,75,0,3567
2719,52,87,260,65,0,3725
2718,27,18,14,85,0,2823
2716,133,140,117,20,3,3480
2715,107,72,72,30,6,3182
2715,30,39,391,25,7,3996
2715,52,67,186,45,0,3459
2714,136,138,147,40,3,3567
2712,105,72,68,25,0,3165
2711,32,31,47,40,7,2946
2709,229,168,122,30,13,3640
2708,133,127,164,65,0,3587
2707,41,34,35,25,0,2921
2705,131,139,109,50,0,3441
2705,44,40,51,60,0,2982
2705,17,28,53,10,0,2937
2703,26,35,40,15,0,2919
2702,64,71,239,65,0,3625
2701,46,50,193,20,0,3426
2700,221,173,190,85,0,3837
2700,106,185,157,80,0,3647
2700,14,24,137,60,2,3173
2698,62,67,122,60,0,3260
2697,50,65,85,5,0,3132
2697,4,0,0,20,0,2701
2696,79,54,127,30,0,3264
2696,107,103,137,35,0,3420
2696,62,52,16,65,0,2910
2695,49,55,302,15,0,3760
2695,23,41,75,70,0,3025
2693,53,63,88,50,0,3136
2692,112,171,101,50,0,3449
2692,42,36,258,45,8,3580
2692,67,82,109,70,0,3250
2691,162,121,70,60,0,3305
2691,97,77,82,55,0,3188
2690,37,50,49,65,0,2974
2689,99,84,134,35,0,3358
2688,87,134,93,50,0,3322
2688,35,23,98,60,8,3063
2687,31,30,159,20,0,3255
2686,81,63,114,25,3,3235
2686,60,62,118,10,0,3224
2685,30,21,20,70,0,2817
2685,88,104,106,45,0,3299
2683,133,133,165,55,0,3577
